,Platform,Active_Users_M,Avg_Rating,Problems_Count,Problems_Difficulty,Job_Integration,Contest_Frequency,Pricing_Model,Founded_Year,Mobile_App_Available,Certifications_Offered,Learning_Paths,Forum_Activity_Level,Platform_Score
0,HackerRank,5.6,4.2,581,Easy,Yes,Occasionally,Paid,2019,True,True,7,Medium,86
1,HackerRank,28.5,4.4,2256,Hard,Limited,Weekly,Freemium,2013,False,True,5,Low,118
2,Codeforces,17.6,4.4,3773,Varied,No,Weekly,Freemium,2018,True,True,8,Low,102
3,CodeChef,19.9,4.5,2855,Varied,No,Occasionally,Paid,2010,False,False,3,Low,86
4,CodeChef,16.5,4.1,1867,Easy,Yes,Weekly,Free,2021,False,True,3,Low,96
5,CodeChef,19.3,3.6,1589,Hard,No,Biweekly,Paid,2020,False,True,9,Medium,96
6,CodeChef,4.6,4.8,2702,Hard,Yes,Weekly,Paid,2017,False,True,9,High,100
7,LeetCode,19.8,4.2,2262,Medium,No,Weekly,Paid,2008,False,False,6,High,96
8,Codeforces,13.7,4.4,2444,Medium,Yes,Occasionally,Paid,2009,False,True,8,Low,101
9,CodeChef,6.6,4.9,1865,Hard,Yes,Biweekly,Freemium,2006,True,False,2,Low,82
10,CodeChef,23.2,4.5,2135,Hard,Yes,Weekly,Free,2009,False,True,7,Medium,120
11,CodeChef,19.2,4.8,3422,Medium,No,Biweekly,Freemium,2019,False,True,7,Low,105
12,LeetCode,3.0,5.0,550,Varied,Yes,Biweekly,Free,2009,False,True,3,High,86
13,Codeforces,2.3,4.4,1136,Hard,Yes,Occasionally,Paid,2012,False,False,8,Medium,80
14,Codeforces,19.8,4.5,2224,Varied,Yes,Occasionally,Free,2018,False,False,6,Medium,105
15,Codeforces,17.7,4.4,3314,Varied,Yes,Occasionally,Freemium,2018,False,False,1,Medium,93
16,Codeforces,2.5,4.5,857,Medium,Limited,Weekly,Paid,2007,False,False,7,High,80
17,HackerRank,9.1,4.3,1478,Easy,Limited,Weekly,Paid,2012,False,True,5,Medium,87
18,Codeforces,6.0,4.0,2042,Hard,No,Weekly,Paid,2022,False,False,6,High,73
19,LeetCode,2.5,4.2,1570,Hard,No,Weekly,Free,2020,True,True,9,Low,78
20,HackerRank,22.2,3.9,1912,Varied,Yes,Weekly,Free,2011,False,True,10,Low,116
21,LeetCode,10.9,3.9,1063,Medium,Yes,Weekly,Paid,2006,True,False,5,Low,83
22,HackerRank,21.1,4.7,1551,Hard,Limited,Biweekly,Paid,2013,True,False,6,Medium,104
23,CodeChef,20.0,3.7,2902,Medium,Yes,Weekly,Free,2005,True,False,6,Low,98
24,CodeChef,18.8,4.5,528,Varied,No,Monthly,Freemium,2009,True,False,9,Low,99
25,CodeChef,3.9,4.5,1211,Varied,No,Biweekly,Freemium,2013,True,False,6,Medium,74
26,Codeforces,26.8,3.6,1444,Hard,Limited,Biweekly,Freemium,2006,False,False,1,High,96
27,Codeforces,9.6,4.9,1536,Medium,Limited,Occasionally,Free,2010,True,True,9,High,101
28,CodeChef,15.3,4.4,1104,Varied,Limited,Biweekly,Freemium,2017,True,False,8,High,101
29,HackerRank,1.0,4.0,2665,Easy,Yes,Occasionally,Paid,2013,True,False,4,Medium,66
30,CodeChef,16.1,4.4,3787,Easy,Limited,Occasionally,Paid,2020,False,False,4,Low,86
31,Codeforces,22.5,4.4,3343,Hard,Yes,Weekly,Paid,2013,True,True,10,High,125
32,HackerRank,18.1,3.5,1130,Medium,Yes,Occasionally,Paid,2015,True,True,2,High,90
33,HackerRank,5.3,4.5,2723,Easy,Limited,Weekly,Paid,2020,False,True,7,High,89
34,HackerRank,17.3,4.1,1690,Medium,Yes,Weekly,Paid,2009,True,False,3,High,95
35,CodeChef,10.6,3.6,2593,Varied,No,Monthly,Paid,2018,False,True,6,Low,74
36,Codeforces,20.4,4.6,784,Easy,Yes,Monthly,Free,2009,True,False,9,High,115
37,Codeforces,5.7,5.0,3350,Varied,Limited,Biweekly,Free,2010,False,True,4,High,88
38,LeetCode,1.5,3.5,810,Varied,No,Monthly,Free,2022,False,True,7,Medium,64
39,LeetCode,15.3,4.2,3129,Easy,Yes,Occasionally,Freemium,2012,True,True,3,High,98
40,Codeforces,29.7,4.2,616,Easy,Limited,Biweekly,Freemium,2008,True,True,10,High,130
41,LeetCode,25.6,4.8,805,Easy,Limited,Weekly,Freemium,2021,True,True,5,Medium,119
42,Codeforces,4.3,3.8,2035,Hard,Yes,Occasionally,Paid,2007,True,True,5,High,78
43,Codeforces,1.1,4.9,1141,Varied,Yes,Biweekly,Paid,2018,True,True,5,Low,82
44,CodeChef,11.9,4.8,920,Easy,No,Biweekly,Paid,2017,False,True,10,Medium,99
45,CodeChef,18.3,4.2,1885,Hard,No,Occasionally,Paid,2022,True,True,6,Low,91
46,CodeChef,21.7,5.0,1843,Varied,Yes,Biweekly,Paid,2006,True,True,8,High,124
47,HackerRank,11.4,4.8,2486,Medium,Yes,Monthly,Free,2009,False,True,5,Medium,98
48,CodeChef,6.7,4.5,1188,Varied,Limited,Occasionally,Free,2005,False,False,7,Medium,82
49,LeetCode,19.4,4.3,2045,Varied,No,Weekly,Free,2022,True,True,3,Medium,94
50,HackerRank,21.7,4.4,3191,Easy,Limited,Monthly,Free,2018,True,True,4,Low,101
51,HackerRank,1.6,3.7,1601,Varied,No,Biweekly,Freemium,2018,True,True,2,Low,57
52,HackerRank,7.3,3.8,1970,Varied,No,Biweekly,Freemium,2005,False,True,1,Low,65
53,HackerRank,17.4,4.5,2737,Easy,No,Weekly,Free,2018,True,False,2,Medium,86
54,LeetCode,9.2,3.6,1087,Hard,Limited,Occasionally,Free,2008,True,True,8,High,86
55,LeetCode,9.3,4.9,524,Easy,Limited,Occasionally,Paid,2011,True,False,6,High,89
56,LeetCode,13.7,3.6,2723,Easy,No,Weekly,Free,2013,False,False,8,Low,82
57,Codeforces,22.0,4.2,2467,Varied,Limited,Monthly,Free,2017,True,True,9,Low,109
58,CodeChef,18.4,3.7,1620,Hard,Yes,Monthly,Freemium,2012,False,True,5,Low,98
59,HackerRank,1.0,4.4,1562,Easy,Yes,Weekly,Paid,2021,False,True,6,Low,80
60,HackerRank,25.2,3.5,3521,Varied,Limited,Weekly,Paid,2017,True,True,8,Medium,109
61,Codeforces,27.8,4.4,1388,Hard,Yes,Weekly,Paid,2010,True,True,7,High,127
62,LeetCode,24.2,4.2,1841,Varied,Yes,Biweekly,Free,2011,True,False,3,Low,101
63,CodeChef,26.6,4.5,3037,Varied,Yes,Weekly,Paid,2019,False,False,7,Medium,119
64,HackerRank,3.6,4.2,3800,Varied,Limited,Monthly,Paid,2006,False,False,1,Low,59
65,CodeChef,18.6,4.3,1309,Easy,Limited,Biweekly,Free,2017,True,False,1,High,89
66,CodeChef,27.2,3.9,3798,Easy,Yes,Monthly,Free,2013,True,True,1,Low,103
67,HackerRank,1.5,4.8,1012,Varied,Limited,Weekly,Freemium,2016,False,True,8,Medium,89
68,CodeChef,19.5,4.1,2458,Varied,Yes,Monthly,Paid,2022,False,False,4,Low,93
69,CodeChef,23.6,4.7,1377,Easy,Limited,Monthly,Paid,2009,True,False,6,High,108
70,Codeforces,1.2,4.5,695,Medium,No,Biweekly,Free,2014,False,False,6,Medium,68
71,CodeChef,27.4,4.8,2181,Hard,Limited,Occasionally,Free,2005,False,False,2,Medium,106
72,HackerRank,11.2,4.7,2625,Easy,Yes,Occasionally,Paid,2020,False,True,3,High,94
73,CodeChef,26.4,4.5,2912,Medium,Yes,Biweekly,Free,2008,True,True,5,Medium,119
74,HackerRank,29.7,3.6,1816,Varied,No,Weekly,Free,2021,False,False,6,Low,102
75,CodeChef,22.0,4.8,3474,Easy,Yes,Biweekly,Paid,2019,False,True,2,High,110
76,LeetCode,10.6,3.8,1250,Varied,Limited,Weekly,Freemium,2019,True,False,5,Medium,82
77,Codeforces,20.3,4.3,574,Varied,Limited,Monthly,Paid,2010,False,False,8,Medium,101
78,LeetCode,9.6,4.8,3237,Varied,Yes,Weekly,Paid,2007,False,False,2,Medium,86
79,HackerRank,23.1,4.3,1475,Hard,Limited,Occasionally,Freemium,2010,True,True,3,Medium,104
80,LeetCode,14.9,4.5,3722,Varied,Limited,Biweekly,Paid,2017,True,False,10,Low,98
81,CodeChef,1.2,4.6,2060,Medium,Yes,Biweekly,Freemium,2007,True,False,9,Low,85
82,CodeChef,10.2,4.9,3405,Easy,Yes,Occasionally,Freemium,2015,True,True,8,Low,103
83,HackerRank,12.5,4.1,3250,Medium,Yes,Weekly,Free,2017,False,False,2,High,87
